iter	Logloss
0	0.6214504691
1	0.56887282
2	0.5293351254
3	0.4898227534
4	0.4564759207
5	0.4380466901
6	0.4194216289
7	0.40611835
8	0.3919135351
9	0.3795940421
10	0.3728458877
11	0.363081714
12	0.357801832
13	0.349924198
14	0.3441443426
15	0.3388223136
16	0.3347647721
17	0.3303788191
18	0.3241404702
19	0.3201826564
20	0.3176930954
21	0.3133299422
22	0.3098618294
23	0.3057185653
24	0.3014633025
25	0.2977059087
26	0.2956340947
27	0.2937918634
28	0.291333402
29	0.2906298058
30	0.2871315694
31	0.285046321
32	0.2830223329
33	0.2816705761
34	0.2803349045
35	0.2784681923
36	0.2780081453
37	0.2764092919
38	0.2756536307
39	0.2752128582
40	0.2748582152
41	0.2744957368
42	0.2739759874
43	0.2736553311
44	0.2733580506
45	0.2725387789
46	0.2722743815
47	0.2708583047
48	0.269908139
49	0.2693257529
50	0.269128268
51	0.2688593208
52	0.2685737929
53	0.2679183343
54	0.2673253396
55	0.2671073628
56	0.2669296631
57	0.2667198823
58	0.2660623427
59	0.2652827908
60	0.2646223208
61	0.264448238
62	0.2642398337
63	0.2640760126
64	0.2639337436
65	0.2634028411
66	0.2632553836
67	0.2630901307
68	0.2624384487
69	0.2622631276
70	0.2620969608
71	0.2613399765
72	0.2612141906
73	0.2611289088
74	0.2610059063
75	0.2608871955
76	0.2607785384
77	0.260614565
78	0.2604888619
79	0.2603773301
80	0.2602480371
81	0.2595522352
82	0.2594031592
83	0.2592695646
84	0.2591624217
85	0.2590338547
86	0.2589322259
87	0.2582583718
88	0.2581150641
89	0.2579841162
90	0.2578784076
91	0.257748034
92	0.2576089081
93	0.2575059442
94	0.257379335
95	0.2567749876
96	0.2566908785
97	0.2565761145
98	0.256462104
99	0.2563328344
100	0.256210958
101	0.2561122222
102	0.2559690541
103	0.2558190709
104	0.2557121373
105	0.2556156003
106	0.2555118961
107	0.2554066039
108	0.2549311746
109	0.2548773348
110	0.254790415
111	0.2542205979
112	0.25383665
113	0.253634721
114	0.2535366773
115	0.2534577912
116	0.2533138057
117	0.2532431824
118	0.2531561249
119	0.2530687175
120	0.252988537
121	0.2529228093
122	0.2528384281
123	0.2527824563
124	0.252702245
125	0.2526497087
126	0.2521346876
127	0.252039938
128	0.2519383678
129	0.251846555
130	0.2517815328
131	0.2516776821
132	0.2516254313
133	0.2515200419
134	0.2514767968
135	0.251450489
136	0.251296344
137	0.2511585991
138	0.2510210157
139	0.2509790458
140	0.2508899309
141	0.250796136
142	0.2504619699
143	0.2503456353
144	0.2502851443
145	0.2501974359
146	0.25013969
147	0.2497855535
148	0.249686389
149	0.2496222025
150	0.2491893812
151	0.2491321649
152	0.249052395
153	0.2489790547
154	0.2488960877
155	0.2488550233
156	0.2487963149
157	0.2487630939
158	0.2486385678
159	0.2485510952
160	0.2484568777
161	0.2483682562
162	0.2482117324
163	0.2481224845
164	0.24805881
165	0.2479397442
166	0.2478433378
167	0.2477823299
168	0.2477471665
169	0.2476946223
170	0.2473093965
171	0.2472585066
172	0.2471729902
173	0.2470820034
174	0.2470200318
175	0.2469412609
176	0.2468584755
177	0.2464524631
178	0.2463622435
179	0.246264614
180	0.2462082594
181	0.2461308411
182	0.2460546914
183	0.2460239153
184	0.2459719882
185	0.245917892
186	0.2458741965
187	0.2457861824
188	0.2457342938
189	0.24532924
190	0.2452572639
191	0.2451989793
192	0.2451164258
193	0.2450463304
194	0.2449296206
195	0.2448382827
196	0.244808176
197	0.2447097653
198	0.2446013564
199	0.2444810927
200	0.244426401
201	0.2443583866
202	0.244334471
203	0.244231174
204	0.2441286457
205	0.2440187904
206	0.243665557
207	0.243625226
208	0.2435442692
209	0.2435091618
210	0.2434546855
211	0.2433489472
212	0.2432703278
213	0.243189813
214	0.2431413689
215	0.2428988346
216	0.242808517
217	0.2427024985
218	0.242629563
219	0.2425203687
220	0.2424539515
221	0.2423921721
222	0.2423333508
223	0.2422580036
224	0.2421709537
225	0.2421222952
226	0.2420313644
227	0.2419988745
228	0.2419164208
229	0.241828287
230	0.2417633247
231	0.2417049863
232	0.2416499637
233	0.2415193682
234	0.2414612999
235	0.2413821278
236	0.2413192403
237	0.2412402066
238	0.2411312638
239	0.2410268773
240	0.2409252702
241	0.2408252713
242	0.2407568294
243	0.2406715155
244	0.2405617872
245	0.2404941737
246	0.2404182044
247	0.240122781
248	0.2400545226
249	0.2398701424
250	0.2397742676
251	0.2397439361
252	0.2396699414
253	0.2395942283
254	0.239519268
255	0.2394714357
256	0.2394016992
257	0.2393058116
258	0.2392166332
259	0.2391128668
260	0.2390527751
261	0.238984943
262	0.2388611536
263	0.2387752564
264	0.2384414561
265	0.2383980065
266	0.2382949396
267	0.2382561723
268	0.2381741907
269	0.2381330758
270	0.2380577659
271	0.2379671196
272	0.2378788902
273	0.2378485291
274	0.2378088429
275	0.2376839959
276	0.237600644
277	0.2375343484
278	0.237451092
279	0.2373787747
280	0.2373257563
281	0.2372711403
282	0.2372032921
283	0.2371190305
284	0.2370532018
285	0.2369909869
286	0.2369290851
287	0.2367840243
288	0.2367101098
289	0.2364598512
290	0.2364067174
291	0.2363405071
292	0.2362643126
293	0.2361974119
294	0.2361550413
295	0.2360494219
296	0.2359481182
297	0.2358548778
298	0.2357993537
299	0.2357014686
300	0.2356211629
301	0.235532066
302	0.235442763
303	0.235316603
304	0.2352346407
305	0.2351609676
306	0.2350961448
307	0.2350065926
308	0.2349376549
309	0.2348172737
310	0.2347233132
311	0.2346382626
312	0.2345694335
313	0.2344947912
314	0.2344123396
315	0.234294551
316	0.2342534075
317	0.2341692179
318	0.2340821695
319	0.2340561589
320	0.2340050359
321	0.2339486839
322	0.2339092657
323	0.2338322797
324	0.2336818139
325	0.2336217714
326	0.2335384172
327	0.2334318983
328	0.2333642578
329	0.2332983988
330	0.2332003486
331	0.2331031037
332	0.2330196915
333	0.2329452352
334	0.2328629826
335	0.2328107742
336	0.2326788745
337	0.2326217637
338	0.2325262465
339	0.2324478803
340	0.232393767
341	0.2322895285
342	0.2322457253
343	0.232221852
344	0.232144898
345	0.2321069913
346	0.2320214853
347	0.2319644347
348	0.2319331456
349	0.2319041808
350	0.2317967389
351	0.2317227801
352	0.2316034613
353	0.2315142151
354	0.2314588979
355	0.2313671255
356	0.2313269764
357	0.231253079
358	0.2311822396
359	0.2311093698
360	0.2310697739
361	0.2310166964
362	0.2309148867
363	0.2308401297
364	0.2307990217
365	0.2307236988
366	0.2306141057
367	0.2305517153
368	0.230481177
369	0.2304166752
370	0.2303525229
371	0.2302801971
372	0.2302055446
373	0.230175102
374	0.2301109455
375	0.2300251058
376	0.2299362372
377	0.2298471357
378	0.2297507351
379	0.2296416378
380	0.2296165433
381	0.2295374786
382	0.2294515123
383	0.2292433968
384	0.2291772798
385	0.2291363045
386	0.2291149095
387	0.2290279172
388	0.2289857273
389	0.2289020239
390	0.2288002041
391	0.228706021
392	0.2284669664
393	0.2284021169
394	0.228334695
395	0.2282743844
396	0.2282172779
397	0.2281802052
398	0.2281251833
399	0.2280958286
400	0.2280409154
401	0.2280017254
402	0.2279523251
403	0.227886921
404	0.2277634313
405	0.2276997359
406	0.2276431049
407	0.2276061527
408	0.2275123604
409	0.227440249
410	0.2274280014
411	0.2273528991
412	0.2272911718
413	0.2272143832
414	0.2271612385
415	0.2270873177
416	0.2270474116
417	0.2270146836
418	0.2269720329
419	0.2269086416
420	0.2268184984
