iter	Passed	Remaining
406	6581	9589
407	6596	9571
408	6613	9556
409	6630	9541
410	6644	9522
411	6660	9506
412	6677	9490
413	6693	9474
414	6708	9456
415	6724	9440
416	6740	9423
417	6756	9407
418	6770	9388
419	6787	9373
420	6802	9356
421	6818	9339
422	6836	9325
423	6852	9309
424	6868	9292
425	6886	9278
426	6904	9264
427	6922	9252
428	6939	9236
429	6957	9222
430	6973	9206
431	6990	9190
432	7006	9175
433	7023	9159
434	7037	9140
435	7054	9125
436	7070	9108
437	7086	9092
438	7102	9076
439	7118	9059
440	7135	9044
441	7150	9027
442	7167	9011
443	7183	8995
444	7200	8979
445	7215	8962
446	7232	8947
447	7247	8929
448	7263	8913
449	7279	8897
450	7295	8881
451	7311	8864
452	7327	8847
453	7343	8831
454	7360	8816
455	7375	8798
456	7390	8781
457	7406	8765
458	7421	8747
459	7438	8732
460	7455	8716
461	7471	8700
462	7487	8683
463	7503	8667
464	7519	8651
465	7534	8634
466	7550	8617
467	7567	8602
468	7582	8585
469	7598	8568
470	7615	8553
471	7631	8536
472	7646	8519
473	7664	8504
474	7680	8488
475	7697	8473
476	7713	8457
477	7729	8441
478	7746	8425
479	7763	8410
480	7780	8394
481	7796	8378
482	7812	8362
483	7828	8346
484	7846	8331
485	7862	8315
486	7877	8298
487	7893	8281
488	7909	8265
489	7925	8248
490	7941	8232
491	7956	8215
492	7972	8198
493	7987	8181
494	8004	8165
495	8019	8149
496	8036	8133
497	8052	8116
498	8068	8101
499	8085	8085
500	8100	8068
501	8117	8053
502	8134	8037
503	8151	8022
504	8168	8007
505	8184	7990
506	8200	7974
507	8217	7958
508	8233	7941
509	8249	7926
510	8265	7909
511	8281	7893
512	8297	7877
513	8313	7860
514	8330	7844
515	8348	7830
516	8365	7815
517	8381	7799
518	8398	7783
519	8416	7768
520	8432	7752
521	8449	7737
522	8466	7721
523	8483	7705
524	8498	7689
525	8514	7673
526	8532	7658
527	8548	7642
528	8563	7624
529	8579	7608
530	8596	7592
531	8613	7577
